                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4117,                 2.8148,                 1.7549,                0.61343,                0.88257,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                 1.2485,                 2.6203,                 1.4407,                0.59671,                0.89736,                0.88811,                0.61799,                 1.4046,                 1.3533,                 1.2564,             1.1782e-06,             1.1782e-06,             1.1782e-06
